Idiom	Context	Meaning	Explanation	Language
walk on air	I've been walking on air ever since I got engaged!	be in a state of extreme happiness. 	in einem Zustand extremen Glücks sein.	German
pop the question	I'm planning on popping the question just before the fireworks start.	ask someone to marry one.  	pedirle a alguien que se case con uno.	Spanish
pop the question	I'm planning on popping the question just before the fireworks start.	ask someone to marry one.  	jemanden bitten, einen zu heiraten.	German
name the day	We need to name the day soon so everyone can make plans to come to the wedding.	specify the date that something important will happen. The term is most often used when setting a wedding date. 	especifique la fecha en que sucederá algo importante. El término se utiliza con mayor frecuencia al fijar la fecha de la boda.	Spanish
name the day	We need to name the day soon so everyone can make plans to come to the wedding.	specify the date that something important will happen. The term is most often used when setting a wedding date. 	Geben Sie das Datum an, an dem etwas Wichtiges passieren wird. Der Begriff wird am häufigsten bei der Festlegung eines Hochzeitstermins verwendet.	German
twist someone's arm	Tommy's spending all his time with his new twist. He never comes around to see us anymore.	slang A girl or woman. From rhyming slang, in which "twist" is short for "twist and twirl," which rhymes with "girl." 	jerga Una niña o mujer. De la jerga que rima, en la que "twist" es la abreviatura de "twist and twirl", que rima con "girl".	Spanish
twist someone's arm	Tommy's spending all his time with his new twist. He never comes around to see us anymore.	slang A girl or woman. From rhyming slang, in which "twist" is short for "twist and twirl," which rhymes with "girl." 	Slang Ein Mädchen oder eine Frau. Aus dem reimenden Slang, in dem „twist“ die Abkürzung für „twist and twirl“ ist, was sich auf „girl“ reimt.	German
throw caution to the wind	You can't live life completely reserved, you know. You've got to throw caution to the wind every now and then.	abandon one's cautiousness in order to take a risk.  	abandonar la cautela para correr un riesgo.	Spanish
throw caution to the wind	You can't live life completely reserved, you know. You've got to throw caution to the wind every now and then.	abandon one's cautiousness in order to take a risk.  	seine Vorsicht aufgeben, um ein Risiko einzugehen.	German
speak the same language	A: "I say we stop here and get some ice cream." B: "You and I are speaking the same language."	share and/or understand one another's opinions, values, beliefs, tastes, etc. Likened to literally speaking the same language as another person and therefore being able to communicate fluently.  	compartir y/o comprender las opiniones, valores, creencias, gustos, etc. de los demás. Se compara con hablar literalmente el mismo idioma que otra persona y, por lo tanto, poder comunicarse con fluidez.	Spanish
speak the same language	A: "I say we stop here and get some ice cream." B: "You and I are speaking the same language."	share and/or understand one another's opinions, values, beliefs, tastes, etc. Likened to literally speaking the same language as another person and therefore being able to communicate fluently.  	Die Meinungen, Werte, Überzeugungen, Vorlieben usw. des anderen teilen und/oder verstehen. Dies wird damit verglichen, dass man im wahrsten Sinne des Wortes dieselbe Sprache wie eine andere Person spricht und daher in der Lage ist, fließend zu kommunizieren.	German
foam at the mouth	All of a sudden she collapsed in a fit, convulsing and foaming at the mouth.	Be extremely angry, as in She was foaming at the mouth over the judge's ruling. This hyperbolic term uses the verb foam in the sense of "froth at the mouth," a usage generally applied to animals such as horses and dating from about a.d. 950. [1400s] 	Estar extremadamente enojada, como en Ella estaba echando espuma por la boca por el fallo del juez. Este término hiperbólico utiliza el verbo espuma en el sentido de "espuma en la boca", un uso generalmente aplicado a animales como los caballos y que data aproximadamente del año 13 d.C. 950. [década de 1400]	Spanish
foam at the mouth	All of a sudden she collapsed in a fit, convulsing and foaming at the mouth.	Be extremely angry, as in She was foaming at the mouth over the judge's ruling. This hyperbolic term uses the verb foam in the sense of "froth at the mouth," a usage generally applied to animals such as horses and dating from about a.d. 950. [1400s] 	Seien Sie extrem wütend, wie in „Sie hatte Schaum vor dem Mund wegen der Entscheidung des Richters.“ In diesem hyperbolischen Begriff wird das Verb „Schaum“ im Sinne von „Schaum vor dem Mund“ verwendet, eine Verwendung, die im Allgemeinen auf Tiere wie Pferde angewendet wird und etwa auf die Zeit um 1700 zurückgeht. 950. [1400er]	German
turn the tables	Wow, they really turned the tables on their opponents after the intermission. The score went from 0-3 to 5-3!	change or reverse something dramatically. 	cambiar o revertir algo dramáticamente.	Spanish
turn the tables	Wow, they really turned the tables on their opponents after the intermission. The score went from 0-3 to 5-3!	change or reverse something dramatically. 	etwas dramatisch verändern oder umkehren.	German
weather the storm	The General insists he will not resign and will weather the storm.	Survive difficulties, as in If she can just weather the storm of that contract violation, she'll be fine. This expression alludes to a ship coming safely through bad weather. [Mid-1600s] 	Sobrevivir a las dificultades, como en Si puede capear la tormenta de esa violación del contrato, estará bien. Esta expresión alude a un barco que llega sano y salvo a pesar del mal tiempo. [Mediados del siglo XVII]	Spanish
weather the storm	The General insists he will not resign and will weather the storm.	Survive difficulties, as in If she can just weather the storm of that contract violation, she'll be fine. This expression alludes to a ship coming safely through bad weather. [Mid-1600s] 	Überleben Sie Schwierigkeiten, wie zum Beispiel: Wenn sie den Sturm dieser Vertragsverletzung einfach überstehen kann, wird es ihr gut gehen. Dieser Ausdruck bezieht sich auf ein Schiff, das schlechtes Wetter sicher übersteht. [Mitte des 17. Jahrhunderts]	German
put the cat among the pigeons	The prime minister's casual remarks about the role of ethnicity in unemployment numbers has predictably put the cat among the pigeons on both sides of the political spectrum.	do or say something that is likely to cause alarm, controversy, or unrest among a lot of people. Primarily heard in UK.  	hacer o decir algo que pueda causar alarma, controversia o malestar entre muchas personas. Se escucha principalmente en el Reino Unido.	Spanish
put the cat among the pigeons	The prime minister's casual remarks about the role of ethnicity in unemployment numbers has predictably put the cat among the pigeons on both sides of the political spectrum.	do or say something that is likely to cause alarm, controversy, or unrest among a lot of people. Primarily heard in UK.  	etwas tun oder sagen, das bei vielen Menschen Beunruhigung, Kontroversen oder Unruhe hervorrufen könnte. Hauptsächlich in Großbritannien zu hören.	German
bite the bullet	I don't actually enjoy cleaning, but I bite the bullet and do it so that everything in my house isn't covered in a thick layer of dust.	do or accept something unpleasant, often after a period of hesitation. The phrase is thought to have come from the military, perhaps because biting a bullet was a common practice for patients, due to a lack of anesthesia.  	Hacer o aceptar algo desagradable, a menudo después de un período de vacilación. Se cree que la frase proviene de los militares, tal vez porque morder una bala era una práctica común entre los pacientes, debido a la falta de anestesia.	Spanish
